Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Stock
2013-09-02,ICICIBANK,EQ,803.75,814.1,832.7,809.1,828.0,826.6,822.17,4595731,377848304840000.0,106814.0,2191266.0,0.4768,ICICIBANK
2013-09-03,ICICIBANK,EQ,826.6,834.0,834.0,776.55,785.0,783.55,799.3,5728127,457848522420000.0,117745.0,3211460.0,0.5606,ICICIBANK
2013-09-04,ICICIBANK,EQ,783.55,783.6,822.35,780.0,817.6,817.75,804.21,5707817,459030890955000.0,125438.0,2858038.0,0.5007,ICICIBANK
2013-09-05,ICICIBANK,EQ,817.75,867.0,907.55,864.4,890.0,893.7,886.5,8891632,788245293385000.0,249704.0,5134265.0,0.5774,ICICIBANK
2013-09-06,ICICIBANK,EQ,893.7,901.7,963.8,901.7,962.0,958.4,937.75,10496341,984298757265000.0,208000.0,6141474.0,0.5851,ICICIBANK
2013-09-10,ICICIBANK,EQ,958.4,963.0,982.0,961.05,970.0,969.6,972.5,7047652,685381303595000.0,175035.0,4317551.0,0.6126,ICICIBANK
2013-09-11,ICICIBANK,EQ,969.6,965.0,977.9,948.2,966.15,969.75,962.22,3640374,350282989770000.0,103773.0,1576880.0,0.4332,ICICIBANK
2013-09-12,ICICIBANK,EQ,969.75,958.9,959.0,940.25,952.95,951.2,949.61,4631365,439797820705000.0,92835.0,2558604.0,0.5525,ICICIBANK
2013-09-13,ICICIBANK,EQ,951.2,940.0,959.9,932.3,935.55,941.95,948.47,3838458,364067496655000.0,108191.0,1610855.0,0.4197,ICICIBANK
2013-09-16,ICICIBANK,EQ,941.95,970.0,989.0,951.0,970.0,969.95,971.65,5265820,511652274910000.06,151189.0,2868541.0,0.5447,ICICIBANK
2013-09-17,ICICIBANK,EQ,969.95,965.0,974.8,954.3,963.9,962.45,962.31,3158245,303922620390000.0,116538.0,1436307.0,0.4548,ICICIBANK
2013-09-18,ICICIBANK,EQ,962.45,967.9,975.8,962.35,974.6,973.1,970.55,3075435,298487056805000.0,79518.0,1758025.0,0.5716,ICICIBANK
2013-09-19,ICICIBANK,EQ,973.1,1026.0,1064.35,1026.0,1033.0,1036.25,1043.1,9009839,939815258975000.0,182984.0,5763948.0,0.6397,ICICIBANK
2013-09-20,ICICIBANK,EQ,1036.25,1032.5,1036.0,960.2,993.15,987.25,990.15,5629374,557393722880000.0,132705.0,1914968.0,0.3402,ICICIBANK
2013-09-23,ICICIBANK,EQ,987.25,961.0,974.45,932.6,943.5,943.3,948.37,3893170,369215633745000.0,104334.0,2118796.0,0.5442,ICICIBANK
2013-09-24,ICICIBANK,EQ,943.3,932.2,958.6,932.2,945.9,944.85,945.72,2510487,237420791310000.0,66016.0,883040.0,0.3517,ICICIBANK
2013-09-25,ICICIBANK,EQ,944.85,947.0,955.0,918.1,939.5,935.2,932.83,3062699,285698600345000.0,84878.0,1546887.0,0.5051,ICICIBANK
2013-09-26,ICICIBANK,EQ,935.2,936.9,956.8,934.15,940.8,946.1,947.44,3222253,305287850935000.0,65699.0,1639626.0,0.5088,ICICIBANK
2013-09-27,ICICIBANK,EQ,946.1,948.4,948.5,915.35,921.3,923.3,924.88,3030067,280245149055000.03,83738.0,1092616.0,0.3606,ICICIBANK
2013-09-30,ICICIBANK,EQ,923.3,906.8,916.5,879.2,880.9,883.65,890.16,3436423,305896638595000.0,114645.0,1806113.0,0.5256000000000001,ICICIBANK
2013-10-01,ICICIBANK,EQ,883.65,889.95,915.0,884.0,914.15,910.75,900.51,3913666,352431366080000.0,117063.0,1782930.0,0.4556,ICICIBANK
2013-10-03,ICICIBANK,EQ,910.75,919.0,940.25,905.2,936.0,937.85,925.75,4224162,391051567765000.0,126138.0,1711250.0,0.4051,ICICIBANK
2013-10-04,ICICIBANK,EQ,937.85,932.0,944.2,920.1,933.0,930.6,932.64,2495544,232743433640000.0,64274.0,603275.0,0.2417,ICICIBANK
2013-10-07,ICICIBANK,EQ,930.6,919.3,920.0,893.0,916.65,916.2,904.83,3232202,292459024720000.0,86026.0,1164875.0,0.3604,ICICIBANK
2013-10-08,ICICIBANK,EQ,916.2,947.1,952.4,932.35,934.5,937.1,941.42,2924115,275281172190000.0,77478.0,1240284.0,0.4242,ICICIBANK
2013-10-09,ICICIBANK,EQ,937.1,921.0,955.0,908.0,953.25,950.4,929.25,4504912,418619360825000.0,131173.0,1804743.0,0.4006,ICICIBANK
2013-10-10,ICICIBANK,EQ,950.4,944.0,957.05,934.25,950.6,948.05,945.71,2828877,267528810290000.0,86008.0,804386.0,0.2843,ICICIBANK
2013-10-11,ICICIBANK,EQ,948.05,961.0,1001.8,951.0,999.0,997.05,984.88,5141444,506372891790000.0,131796.0,2254241.0,0.4384,ICICIBANK
2013-10-14,ICICIBANK,EQ,997.05,992.1,1004.9,986.55,998.0,997.15,996.56,2729801,272042181705000.03,54692.0,1038067.0,0.3803,ICICIBANK
2013-10-15,ICICIBANK,EQ,997.15,1002.2,1004.95,971.1,973.0,974.55,984.31,1990533,195930449460000.0,45981.0,516744.0,0.2596,ICICIBANK
2013-10-17,ICICIBANK,EQ,974.55,975.75,985.65,957.9,963.8,964.9,965.82,4362724,421362645680000.0,87166.0,2438733.0,0.559,ICICIBANK
2013-10-18,ICICIBANK,EQ,964.9,972.0,1013.4,972.0,1010.05,1008.85,998.55,4445196,443873688300000.0,114202.0,2447274.0,0.5505,ICICIBANK
2013-10-21,ICICIBANK,EQ,1008.85,1010.0,1025.65,1003.5,1007.55,1010.25,1015.71,2619422,266057844820000.0,90840.0,1133891.0,0.4329,ICICIBANK
2013-10-22,ICICIBANK,EQ,1010.25,998.0,1027.0,998.0,1010.5,1010.15,1012.84,3263454,330534591265000.0,93695.0,1424356.0,0.4365,ICICIBANK
2013-10-23,ICICIBANK,EQ,1010.15,1012.0,1028.0,1005.25,1023.0,1025.75,1017.82,3052261,310664209110000.0,83827.0,1337709.0,0.4382999999999999,ICICIBANK
2013-10-24,ICICIBANK,EQ,1025.75,1021.0,1047.8,1012.35,1020.9,1020.9,1033.75,3110910,321590641360000.0,90264.0,1143954.0,0.3677,ICICIBANK
2013-10-25,ICICIBANK,EQ,1020.9,1025.4,1038.0,1006.2,1022.35,1022.2,1026.11,6394905,656189550970000.0,155024.0,1740406.0,0.2722,ICICIBANK
2013-10-28,ICICIBANK,EQ,1022.2,1024.0,1040.9,1009.0,1016.0,1015.0,1028.51,3391418,348812265020000.0,120631.0,1650459.0,0.4867,ICICIBANK
2013-10-29,ICICIBANK,EQ,1015.0,1020.95,1079.4,1003.15,1078.5,1074.65,1050.57,5332418,560206527215000.0,127914.0,1813898.0,0.3402,ICICIBANK
2013-10-30,ICICIBANK,EQ,1074.65,1082.0,1106.9,1079.4,1100.0,1099.0,1097.15,5197880,570284121970000.0,110136.0,2718852.0,0.5231,ICICIBANK
2013-10-31,ICICIBANK,EQ,1099.0,1093.1,1130.0,1087.65,1122.95,1120.95,1107.95,5649351,625918512295000.0,105104.0,3128342.0,0.5538000000000001,ICICIBANK
2013-11-01,ICICIBANK,EQ,1120.95,1119.8,1140.0,1107.15,1129.0,1133.45,1130.91,3368659,380965092045000.0,90739.0,1300154.0,0.386,ICICIBANK
2013-11-03,ICICIBANK,EQ,1133.45,1136.9,1139.5,1126.75,1129.0,1131.4,1134.48,404216,45857627875000.0,10637.0,87863.0,0.2173999999999999,ICICIBANK
2013-11-05,ICICIBANK,EQ,1131.4,1116.35,1135.8,1091.95,1094.2,1096.0,1114.03,3963147,441507844215000.0,89611.0,2083692.0,0.5258,ICICIBANK
2013-11-06,ICICIBANK,EQ,1096.0,1100.0,1100.0,1076.55,1080.7,1080.4,1087.41,2770682,301287226540000.0,62209.0,1412359.0,0.5098,ICICIBANK
2013-11-07,ICICIBANK,EQ,1080.4,1085.5,1092.0,1049.0,1049.2,1051.45,1071.18,3765789,403384308695000.0,84473.0,1560166.0,0.4143,ICICIBANK
2013-11-08,ICICIBANK,EQ,1051.45,1047.9,1057.6,1041.0,1042.75,1049.9,1049.89,2679684,281336312435000.0,72038.0,1346196.0,0.5024000000000001,ICICIBANK
2013-11-11,ICICIBANK,EQ,1049.9,1038.05,1052.8,1025.3,1040.0,1037.2,1041.2,2582772,268918511595000.0,83054.0,1176547.0,0.4554999999999999,ICICIBANK
2013-11-12,ICICIBANK,EQ,1037.2,1038.0,1043.0,1008.1,1009.2,1012.75,1026.75,3196440,328195789135000.0,90762.0,1653355.0,0.5172,ICICIBANK
2013-11-13,ICICIBANK,EQ,1012.75,999.4,1022.9,995.7,1021.15,1014.9,1008.27,3531697,356089898505000.0,108268.0,1462034.0,0.414,ICICIBANK
2013-11-14,ICICIBANK,EQ,1014.9,1026.95,1067.85,1026.95,1052.0,1052.1,1055.54,3309424,349322900415000.0,134645.0,1655067.0,0.5001,ICICIBANK
2013-11-18,ICICIBANK,EQ,1052.1,1063.0,1087.8,1059.1,1072.6,1073.65,1076.36,3314258,356733152485000.0,81023.0,1621938.0,0.4894,ICICIBANK
2013-11-19,ICICIBANK,EQ,1073.65,1077.7,1089.7,1070.0,1083.1,1085.0,1083.44,3161011,342477403175000.0,55568.0,2026940.0,0.6412000000000001,ICICIBANK
2013-11-20,ICICIBANK,EQ,1085.0,1077.0,1077.0,1041.1,1046.3,1049.15,1060.53,2252720,238908261025000.0,62696.0,969564.0,0.4304,ICICIBANK
2013-11-21,ICICIBANK,EQ,1049.15,1039.9,1041.15,1022.0,1034.9,1030.25,1032.37,2520713,260230949285000.0,97379.0,1149826.0,0.4562,ICICIBANK
2013-11-22,ICICIBANK,EQ,1030.25,1040.0,1043.7,1011.85,1028.0,1020.55,1029.83,3092825,318508543425000.0,70800.0,1551154.0,0.5015,ICICIBANK
2013-11-25,ICICIBANK,EQ,1020.55,1035.5,1078.95,1032.35,1073.85,1074.6,1063.88,3796600,403912166465000.0,89835.0,1970753.0,0.5191,ICICIBANK
2013-11-26,ICICIBANK,EQ,1074.6,1066.0,1084.5,1038.85,1045.4,1043.75,1060.76,3653751,387574497575000.0,61995.0,2219755.0,0.6075,ICICIBANK
2013-11-27,ICICIBANK,EQ,1043.75,1057.0,1057.5,1036.85,1042.55,1042.65,1044.15,2693873,281279769745000.0,65139.0,1473454.0,0.547,ICICIBANK
2013-11-28,ICICIBANK,EQ,1042.65,1057.3,1064.6,1030.45,1046.35,1038.1,1045.32,3965334,414504588855000.0,69653.0,2084200.0,0.5256000000000001,ICICIBANK
2013-11-29,ICICIBANK,EQ,1038.1,1045.0,1072.95,1044.0,1070.0,1068.65,1066.24,2343899,249915213860000.0,75280.0,994943.0,0.4245,ICICIBANK
2013-12-02,ICICIBANK,EQ,1068.65,1070.4,1100.0,1070.4,1090.0,1088.3,1091.67,2884047,314841629775000.0,84846.0,1238765.0,0.4295,ICICIBANK
